year,global_av_temp,minneapolis_av_temp
1750,8.72,5.65
1751,7.98,6.44
1752,5.78,-2.72
1753,8.39,4.94
1754,8.47,4.69
1755,8.36,1.80
1756,8.85,5.11
1757,9.02,4.38
1758,6.74,3.49
1759,7.99,4.50
1760,7.19,2.47
1761,8.77,5.27
1762,8.61,5.20
1763,7.50,2.26
1764,8.40,4.55
1765,8.25,4.15
1766,8.41,5.34
1767,8.22,3.80
1768,6.78,3.80
1769,7.69,4.75
1770,7.69,4.61
1771,7.85,5.18
1772,8.19,5.20
1773,8.22,5.25
1774,8.77,4.56
1775,9.18,5.99
1776,8.30,4.80
1777,8.26,4.73
1778,8.54,1.80
1779,8.98,5.09
1780,9.43,8.71
1781,8.10,5.02
1782,7.90,4.58
1783,7.68,4.38
1784,7.86,4.48
1785,7.36,4.17
1786,8.26,4.74
1787,8.03,4.79
1788,8.45,5.16
1789,8.33,4.95
1790,7.98,4.83
1791,8.23,5.10
1792,8.09,4.65
1793,8.23,5.01
1794,8.53,5.17
1795,8.35,5.01
1796,8.27,5.02
1797,8.51,4.63
1798,8.67,5.34
1799,8.51,5.11
1800,8.48,5.06
1801,8.59,5.39
1802,8.58,5.52
1803,8.50,5.30
1804,8.84,5.37
1805,8.56,5.39
1806,8.43,5.05
1807,8.28,4.84
1808,7.63,4.63
1809,7.08,3.79
1810,6.92,3.86
1811,6.86,4.04
1812,7.05,3.17
1813,7.74,4.70
1814,7.59,4.64
1815,7.24,3.75
1816,6.94,3.02
1817,6.98,3.51
1818,7.83,4.71
1819,7.37,3.87
1820,7.62,3.49
1821,8.09,4.07
1822,8.19,4.38
1823,7.72,4.01
1824,8.55,4.21
1825,8.39,5.80
1826,8.36,4.68
1827,8.81,5.49
1828,8.17,5.34
1829,7.94,4.78
1830,8.52,6.14
1831,7.64,3.83
1832,7.45,5.11
1833,8.01,5.91
1834,8.15,5.89
1835,7.39,3.91
1836,7.70,3.78
1837,7.38,4.38
1838,7.51,3.33
1839,7.63,5.77
1840,7.80,4.86
1841,7.69,4.71
1842,8.02,4.80
1843,8.17,3.33
1844,7.65,4.29
1845,7.85,5.54
1846,8.55,6.89
1847,8.09,4.02
1848,7.98,4.29
1849,7.98,3.97
1850,7.90,4.85
1851,8.18,5.63
1852,8.10,4.91
1853,8.04,4.39
1854,8.21,5.49
1855,8.11,4.30
1856,8.00,3.81
1857,7.76,3.70
1858,8.10,5.45
1859,8.25,3.49
1860,7.96,4.43
1861,7.85,3.99
1862,7.56,3.21
1863,8.11,4.21
1864,7.98,4.16
1865,8.18,4.63
1866,8.29,3.32
1867,8.44,3.24
1868,8.25,3.64
1869,8.43,3.68
1870,8.20,5.54
1871,8.12,4.53
1872,8.19,3.74
1873,8.35,3.56
1874,8.43,4.62
1875,7.86,2.18
1876,8.08,3.71
1877,8.54,5.95
1878,8.83,7.20
1879,8.17,4.92
1880,8.12,4.41
1881,8.27,4.75
1882,8.13,5.14
1883,7.98,2.69
1884,7.77,3.59
1885,7.92,3.43
1886,7.95,4.07
1887,7.91,3.69
1888,8.09,3.14
1889,8.32,5.34
1890,7.97,4.59
1891,8.02,5.16
1892,8.07,4.34
1893,8.06,3.50
1894,8.16,6.10
1895,8.15,4.65
1896,8.21,4.63
1897,8.29,4.59
1898,8.18,5.30
1899,8.40,4.54
1900,8.50,6.00
1901,8.54,5.27
1902,8.30,5.25
1903,8.22,4.05
1904,8.09,3.68
1905,8.23,4.73
1906,8.38,5.25
1907,7.95,3.95
1908,8.19,5.98
1909,8.18,4.75
1910,8.22,5.79
1911,8.18,5.23
1912,8.17,4.07
1913,8.30,5.51
1914,8.59,5.25
1915,8.59,5.50
1916,8.23,3.95
1917,8.02,2.94
1918,8.13,5.62
1919,8.38,5.03
1920,8.36,5.15
1921,8.57,6.85
1922,8.41,5.73
1923,8.42,5.56
1924,8.51,4.03
1925,8.53,5.23
1926,8.73,4.58
1927,8.52,4.43
1928,8.63,5.43
1929,8.24,3.98
1930,8.63,6.06
1931,8.72,8.24
1932,8.71,5.16
1933,8.34,5.64
1934,8.63,6.04
1935,8.52,5.03
1936,8.55,4.31
1937,8.70,4.60
1938,8.86,6.29
1939,8.76,6.11
1940,8.76,5.02
1941,8.77,6.60
1942,8.73,5.80
1943,8.76,4.82
1944,8.85,6.31
1945,8.58,4.70
1946,8.68,5.79
1947,8.80,5.49
1948,8.75,5.46
1949,8.59,5.90
1950,8.37,3.49
1951,8.63,3.84
1952,8.64,5.96
1953,8.87,6.32
1954,8.56,5.85
1955,8.63,5.43
1956,8.28,5.21
1957,8.73,5.36
1958,8.77,5.60
1959,8.73,5.63
1960,8.58,5.30
1961,8.80,5.97
1962,8.75,5.26
1963,8.86,5.90
1964,8.41,5.99
1965,8.53,4.40
1966,8.60,4.69
1967,8.70,4.71
1968,8.52,5.80
1969,8.60,5.23
1970,8.70,4.97
1971,8.60,5.13
1972,8.50,3.88
1973,8.95,6.53
1974,8.47,5.44
1975,8.74,5.33
1976,8.35,5.44
1977,8.85,5.90
1978,8.69,4.91
1979,8.73,4.20
1980,8.98,5.60
1981,9.17,6.48
1982,8.64,4.76
1983,9.03,5.88
1984,8.69,5.95
1985,8.66,4.65
1986,8.83,6.09
1987,8.99,8.21
1988,9.20,6.10
1989,8.92,4.76
1990,9.23,6.65
1991,9.18,6.16
1992,8.84,5.86
1993,8.87,4.80
1994,9.04,5.69
1995,9.35,5.44
1996,9.04,4.01
1997,9.20,5.57
1998,9.52,7.94
1999,9.29,7.15
2000,9.20,6.03
2001,9.41,6.76
2002,9.57,6.30
2003,9.53,6.04
2004,9.32,5.89
2005,9.70,6.87
2006,9.53,7.51
2007,9.73,6.58
2008,9.43,4.84
2009,9.51,5.26
2010,9.70,6.71
2011,9.52,6.25
2012,9.51,7.98
2013,9.61,7.26
